
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
728           0x2D8           Ubiquiti partition header, header size: 56 bytes, name: "PARTITION", base address: 0x00000000, data size: 0 bytes
984           0x3D8           Ubiquiti partition header, header size: 56 bytes, name: "PARTITION", base address: 0x61646500, data size: 0 bytes
1240          0x4D8           Ubiquiti partition header, header size: 56 bytes, name: "PARTITION", base address: 0x6C6F6164, data size: 0 bytes
13702         0x3586          Unix path: /home/vincent/samba/S805/develop/buildroot/output/build/uboot-local/arch/arm/cpu/aml_meson/m8b/firmware/ddr.c
14011         0x36BB          Unix path: /home/vincent/samba/S805/develop/buildroot/output/build/uboot-local/arch/arm/cpu/aml_meson/m8b/firmware/pll.c
423304        0x67588         Android bootimg, kernel size: 4792169 bytes, kernel addr: 0x10008000, ramdisk size: 1479538 bytes, ramdisk addr: 0x11000000, product name: ""
425352        0x67D88         uImage header, header size: 64 bytes, header CRC: 0xD6ADBBD4, created: 2015-07-20 05:49:31, image size: 4792105 bytes, Data Address: 0x208000, Entry Point: 0x208000, data CRC: 0xDD4AD31F, OS: Linux, CPU: ARM, image type: OS Kernel Image, image name: "Linux-3.10.33"
425416        0x67DC8         LZO compressed data
5217672       0x4F9D88        gzip compressed data, maximum compression, has original file name: "rootfs.cpio", from Unix, last modified: 2015-07-20 05:49:39
6715792       0x667990        UBIFS filesystem superblock node, CRC: 0xFD0F7480, flags: 0x0, min I/O unit size: 2048, erase block size: 126976, erase block count: 178, max erase blocks: 704, format version: 4, compression type: lzo
6842768       0x686990        UBIFS filesystem master node, CRC: 0xF5F11D5B, highest inode: 1697, commit number: 0
6969744       0x6A5990        UBIFS filesystem master node, CRC: 0xF9C1E846, highest inode: 1697, commit number: 0
8115025       0x7BD351        Unix path: /wiPgL/AlmXz7uxLaL2diMMxs0Dx6M/2OLuc5NF/1OVYm3z61PMO
8122767       0x7BF18F        Unix path: /D0UrSpUwjP4E/TelOL/bscVjby/rK25Xa71SJl
8132153       0x7C1639        Unix path: /Jkjd/14Et5cS54D40/mf0PmbR0/RAz15i
8140217       0x7C35B9        Unix path: /7EpFIKrIYwvF/k/Ji/1WcbvgAa3mkkp7M5+cTxq
