
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
728           0x2D8           Ubiquiti partition header, header size: 56 bytes, name: "PARTITION", base address: 0x00000000, data size: 0 bytes
984           0x3D8           Ubiquiti partition header, header size: 56 bytes, name: "PARTITION", base address: 0x61646500, data size: 0 bytes
1240          0x4D8           Ubiquiti partition header, header size: 56 bytes, name: "PARTITION", base address: 0x6C6F6164, data size: 0 bytes
13702         0x3586          Unix path: /home/vincent/samba/S805/develop/buildroot/output/build/uboot-local/arch/arm/cpu/aml_meson/m8b/firmware/ddr.c
14011         0x36BB          Unix path: /home/vincent/samba/S805/develop/buildroot/output/build/uboot-local/arch/arm/cpu/aml_meson/m8b/firmware/pll.c
422632        0x672E8         Android bootimg, kernel size: 4691167 bytes, kernel addr: 0x10008000, ramdisk size: 1473147 bytes, ramdisk addr: 0x11000000, product name: ""
424680        0x67AE8         uImage header, header size: 64 bytes, header CRC: 0xDBF0C66F, created: 2014-12-23 02:38:32, image size: 4691103 bytes, Data Address: 0x208000, Entry Point: 0x208000, data CRC: 0x780B54DC, OS: Linux, CPU: ARM, image type: OS Kernel Image, image name: "Linux-3.10.33"
424744        0x67B28         LZO compressed data
5116648       0x4E12E8        gzip compressed data, maximum compression, has original file name: "rootfs.cpio", from Unix, last modified: 2014-12-23 02:38:42
6608836       0x64D7C4        UBIFS filesystem superblock node, CRC: 0xDFB879D4, flags: 0x0, min I/O unit size: 2048, erase block size: 126976, erase block count: 123, max erase blocks: 832, format version: 4, compression type: lzo
6735812       0x66C7C4        UBIFS filesystem master node, CRC: 0x46122136, highest inode: 1741, commit number: 0
6862788       0x68B7C4        UBIFS filesystem master node, CRC: 0x6280EA65, highest inode: 1741, commit number: 0
8645549       0x83EBAD        Unix path: /home/ysy/linux/dcdn_client_41600/upload_manager-;
9178007       0x8C0B97        Unix path: /home/ysy/linux/dcdn_client_41600*E
9181067       0x8C178B        Unix path: /ysy/linux/dcdn_client_41600/upload_manager
9192578       0x8C4482        Unix path: /ysy/linux/dcdn_client_41600/asyn_frame
9194598       0x8C4C66        Unix path: /home/ysy/linux/dcdn_client_41600/asyn_frame
9195631       0x8C506F        Unix path: /home/ysy/toolchain/linaro_(@
